key,en,de (CH),de,ja,ru
<!MissingKey:29:explore atmospheric dreams of vagrant but familiar memories.>,"explore atmospheric dreams of vagrant but familiar memories.

there is …

...no game. you walk around and explore brutalist but also dream-like ​environments​.

...a dedicated sit [C] and howl [H] button because wolfgirls are super cool

other controls

- move : [ WASD ] : [↑ ← ↓ →]

- run : [ CTRL ] : [SHIFT]

- jump : [ SPACE ]

- interact : [ F ] : [Z] : [ENTER] : [Left Click]

- pause : [ P ] : [ESC]

(additionally, a camera can be accessed through the pause menu [ ESC ] allowing you to take pictures with…)

   







notice: while this program does not contain conventional “horror” elements, themes of liminality, isolation and escapism may still evoke unsettling feelings or generally be difficult topics to some so please, explore with caution.",Lächeln / Heulen,"



Erkunde atmosphärische Träume voller flüchtiger, aber vertrauter Erinnerungen.

Es gibt …

… kein Spiel. Du läufst umher und erkundest brutalistische, aber auch traumähnliche Umgebungen.

...einen eigenen Sitz- [C] und Heul-Knopf [H], weil Wolfsmädchen einfach supercool sind.

Weitere Steuerung:

- Bewegen: [WASD] : [↑ ← ↓ →]

- Rennen: [STRG] : [UMSCHALT]

- Springen: [LEERTASTE]

- Interagieren: [F] : [Z] : [EINGABE] : [Linksklick]

- Pause: [P] : [ESC]

(Zusätzlich kannst du dein Handy aufrufen [ESC], dass als dein menü dient aber auch sachen wie Fotos machen lässt...)









Hinweis: Dieses Spiel enthält zwar keine 'klassischen Horrorelemente', behandelt jedoch Themen wie Liminalität, Isolation und Wirklichkeitsflucht, die für manche verstörend wirken oder schwer zu verarbeiten sein können. Bitte erkunde mit Vorsicht.","どこか覚えのある、さまよう記憶の夢を探検。

ここには…

…ゲームはない。ただ歩き回り、ブルータリズム的で夢のような環境を探索するだけ。

…専用の座る [C] ボタンと遠吠え [H] ボタンがある。オオカミ娘って最高だから。

他の操作

移動：[ WASD ]：[↑ ← ↓ →]
走る：[ CTRL ]：[SHIFT]
ジャンプ：[ SPACE ]
調べる：[ F ]：[Z]：[ENTER]：[Left Click]
ポーズ：[ P ]：[ESC]

（さらに、ポーズメニュー [ ESC ] からカメラを開いて、写真撮影も…）

   







注意：このプログラムには一般的な「ホラー」要素は含まれていませんが、リミナリティ、孤立、逃避といったテーマにより、不安を覚えたり、人によっては扱いづらい題材に感じられたりする場合があります。どうか探索にはご注意を。","исследуйте сны, пропитанные атмосферой изменчивых, но знакомых воспоминаний.

Здесь...

...нету игры как таковой. Вы посещаете и исследуете миры в обстановках брутализма и сновидений.

...отдельные кнопки Сесть [C] и Завыть [H], потому-что волкодевочки рулят

Другие Клавиши

- Движение : [ WASD ] : [↑ ← ↓ →]

- Бег : [ CTRL ] : [SHIFT]

- Прыжок : [ ПРОБЕЛ ]

- Взаимодействие : [ F ] : [Z] : [ENTER] : [ЛКМ]

- Пауза : [ P ] : [ESC]

(Вдобавок, с помощью меню паузы [ ESC ] можно достать камеру и делать снимки...)

   







Примечание: не смотря на то, что эта программа не содержит общепринятых элеметнов ""хоррора"", темы лиминальности, изоляции и эскапизма могут спровоцировать неприятные ощущения а так же быть сложными для восприятия. Пожалуйста, исследуйте с осторожностью."
wallpaper_park,Park,Park,Park,公園,Парк
photo_mode_exit,Turn Off Camera,Foto Modus verlassen,Kamera Ausschalten,カメラをオフ,Выключить Камеру
world_nurture,Digital Nurture,,Digitale Nährung,デジタル育成,Цифровое Воспитание
menu_audio_ambience,Ambience,Atmosphäre,Atmosphäre,環境音,Атмосфера
credits_dreamers_alt,fishlings,,Fischleins,サカナの子,мальки
world_school,School,Schule,Schule,学校,Школа
world_pipes,Pipedream,,Rohrtraum,パイプドリーム,Трубы
world_desert,Desert,Wüste,Wüste,砂漠,Пустыня
wallpaper_fish,Fish,,Fisch,サカナ,Рыба
menu_setting_general,General,Allgemein,Allgemein,全般,Общее
menu_nav_cancel,Cancel,Abbrechen,Abbrechen,やめる,Отменить
menu_nav_back,Back,Zurück,Zurück,もどる,Назад
world_parking_lot,Murky Lot,Schwüler Park,Trübes Parkhaus,濁った駐車場,Мутная Парковка
world_quarters,Quarters,Viertel,Viertel,区画,Квартиры
wallpaper_concrete,Concrete,Zement,Zement,コンクリート,Бетон
world_bryce_3d,Astral Frequency,,Astralische Frequenz,アストラル周波数,Астральная Частота
<!MissingKey:46:Time was never ours  to keep...>,Time was never ours  to keep...,I DONT KNOW.. leere ?!,Die Zeit war niemals für uns gedacht...,その他,другие
<!MissingKey:47:Sleepyhead...>,Sleepyhead...,Strasse,Schlafmütze...,あの子を殺した,Вы убили её.
<!MissingKey:48:Test %s %s>,Test %s %s,Nichts,Test %s %s,泡,Пена
credits_other,other,andere,andere,その他,другие
signal_reset_afterthought,You killed her.,,Du hast sie umgebracht.,あの子を殺した,Вы убили её.
<!MissingKey:51:Test %w_2 Test>,Test %w_2 Test,Park,Test %w_2 Test,地下鉄,Станция Метро
wallpaper_foam,Foam,Schaum,Schaum,泡,Пена
world_normal,Normal Tree,"""normal"" refers to the Normal of a surface here",Normaler Baum,ただの木,Нормальное Дерево
wallpaper_indust,Industrial,Industriell,Industriell,工業,Промышленность
world_metro,Train Station,Bahnhof,Bahnhof,地下鉄,Станция Метро
amelia_text_001,I wish you had noticed me...,Ich wünschte dass du mich bemerkt hättest...,Ich wünschte dass du mich bemerkt hättest...,,
menu_new_save_warning,Are you sure...?,Bist du dir sicher...?,Bist du dir sicher...?,ほんとに…？,Вы уверены...?
menu_next_wallpaper,Next Wallpaper,,Nächster Hintergrund,次の壁紙,Следующие Обои
wallpaper_stairs,Stairs,Treppen oder Stuffen? idk,Treppen,階段,Ступеньки
<!MissingKey:60:I wish i have told you how i felt a long time ago.>,I wish i have told you how i felt a long time ago.,Optionen,"Ich wünschte ich hätte es dir früher sagen können, wie ich mich fühle.",倉庫,Склад
world_snowy_quarter,Snowy Quarters,plattenbau or something,Verschneiter Viertel,雪区画,Заснеженный Квартал
apophenia,apophenia,Apophänie,Apophänie,apophenia,Апофения
<!MissingKey:63:evil_nia>,evil_nia,Zeit,Böse_Nia,寝室,Спальня
wallpaper_powerline,Powerlines,Stromkabeln,Stromkabeln,送電線,ЛЭП
menu_new_save_reset,Reset,Zurücksetzen,Zurücksetzen,けす,Сброс
world_warehouse,Warehouse,Verlassenes Lagerhaus,Lagerhaus,倉庫,Склад
world_swing,Rose Swing,Rosen Schaukel,Rosen Schaukel,バラのブランコ,Розовые Качели
world_apartment_balcony,Apartment Overlook,Balkon,Balkon,バルコニー,Общий Балкон
world_bedroom,Bedroom,Schlafzimmer,Schlafzimmer,寝室,Спальня
<!MissingKey:70:a small dream explorer.>,a small dream explorer.,Tiefe,Eine kleine Erkundungsreise in den Träumen.,効果音,Звуковые Эффекты
menu_nav_apply,Apply,Anwenden,Anwenden,適用,Применить
phone_signal_found,Connection Established,,Verbindung hergestellt,接続確立,Связь Налажена
wallpaper_tree,Tree,Baum,Baum,木,Дерево
world_dandelion,Dandelion,,Löwenzahn,タンポポ,Одуванчик
menu_option_camera_invert_x,Invert Horizontal Camera,Horizontalle Kamera invertieren,Horizontalle Kamera invertieren,カメラ水平反転,Инвертировать по оси X
menu_audio_sfx,Sounds,Effekte,Effekte,効果音,Звуковые Эффекты
menu_option_camera_invert_y,Invert Vertical Camera,Vertikale Kamera invertieren,Vertikale Kamera invertieren,カメラ垂直反転,Инвертировать по оси Y
<!MissingKey:78:nophenia: original soundtrack>,nophenia: original soundtrack,Hintegrund,Nophenia: Originaler Soundtrack,道路,Дорога
world_ash,Red Ash,Rote Asche,Rote Asche,赤い灰,Красный Пепел
<!MissingKey:80:Zoom Out>,Zoom Out,Drück,Herauszoomen,スクリーンタイム,Экранное Время
credits_russian,russian,Russisch,Russisch,ロシア語,русский
world_beach,Shore,Strand,Strand,岸辺,Берег
credits_music,music,musik,Musik,音楽,музыка
wallpaper_road,Road,Strasse,Straße,道路,Дорога
world_blocks,Cubic Meadows,,Würfel Weide,立方体草原,Кубические Луга
world_nurture_alt,Screentime,,Bildschirmzeit,スクリーンタイム,Экранное Время
location_random_18,Simulation,Simulation,Simulation,シミュレーション,Симуляция
location_random_19,Nobody,Niemand / Keiner ? / Leere?,Niemand,誰でもない,Безлюдье
keyboard_gamepad_up,up,,Oben,上,вверх
menu_audio_master,All,Alles  / Alle  (all sounds),Gesamtlautstärke,すべて,Весь
location_random_14,Blood,Blut,Blut,血,Кровь
menu_option_open_snapshots,Gallery,Bilder anschauen,Galerie,ギャラリー,Галерея
location_random_15,Wires,Kabeln,Kabeln,配線,Провода
location_random_16,Art,Kunst,Kunst,芸術,Искусство
location_random_17,Apophenia,Apophänie,Apophänie,アポフェニア,Апофения
menu_option_fullscreen,Fullscreen,Vollbild,Vollbild,フルスクリーン,Полный Экран
location_random_10,Quiet Place,Stiller Ort,Ruhiger Ort,静寂,Тихое Место
location_random_11,Beautiful Place,Schöner Ort,Schöner Ort,絶景,Красивое Место
location_random_12,Far Away,Entfernt | Entfernt |,Entlegen,彼方,Вдали
location_random_13,Flesh,Fleisch,Fleisch,肉,Плоть
menu_option_filter,Screen Filter,Bildfilter,Bildfilter,画面フィルター,Фильтр
menu_setting_wallpaper_alt,Alter Flesh,Fleisch ändern,Fleisch ändern,別肉,Другая Плоть
world_realistic_field,Realistic Fields,Realistische Felder,Realistische Felder,リアル野原,Реалистичные Поля
<!MissingKey:104:songs for a small dream explorer.>,songs for a small dream explorer.,Anti Aliasing,Lieder für eine kleine Erkundungsreise in den Träumen.,時間,Время
<!MissingKey:105:this game ####### SUCKS.>,this game ####### SUCKS.,Schlafzimmer,Dieses Spiel ist ########## SCHROTT.,ガレージ集落,Гаражный Кооператив
menu_title_settings,Settings,Einstellungen,Einstellungen,設定,Настройки
world_spider_lily,Spider Lilies,Spinnen Lillien,Spinnen Lillien,彼岸花,Паучьи Лилии
world_flower_field,Flower Field,Bumenfeld,Bumenfeld,花畑,Цветочное Поле
menu_nav_select,Select,Auswählen,Auswahl,選択,Выбрать
world_clocks,Time,Zeit,Zeit,時間,Время
world_garage_block,Garage Settlement,,Garagen Viertel,ガレージ集落,Гаражный Кооператив
menu_nav_options,Options,Optionen,Optionen,設定,Опции
menu_setting_photo_mode,Camera,Fotomodus,Kamera,カメラ,Камера
signal_reset_afterthought_alt_006,You killed us both.,,Du hast uns beide umgebracht.,私たち二人を殺した,Вы убили нас обеих.
signal_reset_afterthought_alt_007,She is DEAD.,,Sie ist TOT.,あの子は死んだ,Она МЕРТВА.
signal_reset_afterthought_alt_004,You broke our promise.,,"Du hast unser versprechen, gebrochen.",約束を破った,Вы нарушили наше обещание.
world_fog_alt,Fog...?,,Nebel...?,霧…？,Туман...?
signal_reset_afterthought_alt_005,You took our life.,,Du hast uns das Leben genommen.,命を奪った,Вы забрали нашу жизнь.
signal_reset_afterthought_alt_002,Murderer.,,Mörderer.,人殺し,Убийца.
wallpaper_sunflowers,Sunflowers,Sonnenblumen,Sonnenblumen,ヒマワリ,Подсолнухи
signal_reset_afterthought_alt_003,Monster.,,Monster.,化け物,Монстр.
<!MissingKey:122:total word count     (japanese)>,total word count     (japanese),Himmel,Vergessen,再帰部屋,Рекурсивные Комнаты
menu_setting_new_save,Forget,Vergiss,Vergessen,わすれる,Забыть
menu_previous_wallpaper,Previous Wallpaper,,Vorheriger Hintergrund,前の壁紙,Предыдушие Обои
<!MissingKey:125:sit>,sit,Deutsch,Runter / Hoch,霧,Туман
photo_mode_ascend_descend,Descend / Ascend ,Absteigen / Aufsteigen | Runter / Hoch |,Runter / Hoch,下降 / 上昇,Спуститься / Подняться
world_waterpark,Waterpark," piss colored avenue (<- emis words, not mine)",Wasserpark,ウォーターパーク,Аквапарк
menu_title_display,Display,Bildschirm,Anzeige,画面,Экран
world_backrooms,Recursive Rooms,,Rekursive Räume,再帰部屋,Рекурсивные Комнаты
menu_setting_cat,Kitty,Katze (Kätzchen? Kater?),Kätzchen,子ネコ,Котя 
wallpaper_cliff,Cliffs,Klippe,Klippen,崖,Утёсы
world_fog,Fog,Nebel,Nebel,霧,Туман
world_end_alt,Another Home…,x,Anderes Zuhause...,もうひとつの家…,Другой Дом...
location_random_08,End,Ende,Ende,おしまい,Конец
menu_option_aa,Anti Aliasing,Anti Aliasing,Anti-aliasing,アンチエイリアス,Сглаживание
menu_setting_info_alt,Manifesto,Manifest,Manifest,宣言,Манифест
<!MissingKey:137:total word count     (german)>,total word count     (german),Katze (Kätzchen? Kater?),"Du wusstest es, und trotzdem hast du sie getötet.",Space,Пробел
world_park,Park,,Park,公園,Парк
signal_reset_afterthought_alt,"You knew, yet you killed her.",,"Du wusstest es, und trotzdem hast du sie getötet.",知ってたのに あの子を殺した,"Вы знали, и все равно убили её."
<!MissingKey:140:Rainy Meadows >,Rainy Meadows ,Manifest,Prototypen Wald,フルティガー・エアロ,Техно-Утопия
<!MissingKey:141:Reverie Plains>,Reverie Plains,Die zeit war niemals für uns gemeint...,Verregnetes Zuhause,下,вниз
world_prototype,Prototype Forest,Prototypen Wald,Prototypen Wald,試作森,Прототип Леса
world_overlook,Rainy Homeside,,Verregnetes Zuhause,雨の家並み,Дождливый Проезд
menu_setting_cat_alt,Cat,,Katze,ネコ,Кошка
keyboard_space,Space,,Leerzeichen,Space,Пробел
credits_emotional_support,emotional support,,Emotionale Hilfe,心の支え,эмоциональная поддержка
menu_option_widescreen,Widescreen,Weitbild,Weitbild,ワイドスクリーン,По Ширине Экрана
world_frutiger_aero,Frutiger Aero,x,Frutiger Aero,フルティガー・エアロ,Техно-Утопия
keyboard_gamepad_down,down,,Unten,下,вниз
wallpaper_transparent,Transparent,Transparent | Durchsichtig,Transparent,透明,Прозрачные
world_snowy_park,Cold Path,x,Kalter Weg,冷たい道,Холодная Тропа
world_bedroom_alt,Safe Space,,Zuflucht,セーフスペース,Безопасное Место
world_concrete,Concrete Monoliths,Cement Säulen (Stein Säulen),Beton Monolithen,コンクリート・モノリス,Бетонные Монолиты
wallpaper_flowers_red,Red Flowers,Rote Blumen,Rote Blumen,赤い花,Красные Цветы
credits_everything,everything,,Alles,すべて,всё
keyboard_gamepad_right,right,,Rechts,右,вправо
menu_option_camera_sensitivity,Camera Sensitivity,Kamera Empfindlichkeit,Kamera Empfindlichkeit,カメラ感度,Чувствительность Камеры
<!MissingKey:158:Zoom In>,Zoom In,Nebel,Umschalt,笑う / 遠吠え,Улыбнуться / Завыть
menu_setting_wallpaper,Wallpaper,Hintergrund,Hintergrund,壁紙,Обои
keyboard_shift,Shift,,Umschalt,Shift,Shift
menu_setting_display_alt,Occipital Modifier,Okzipital modifikator,Okzipital Modifikator,後頭葉調整,Затылочный Модификатор
menu_nav_close,Close,Schliessen,Schließen,とじる,Закрыть
world_snowy_street,Snowy Residence,Kalte Nachbarschaft,Verschneite Nachbarschaft,雪の住宅地,Заснеженная Улица
world_lavender,Lavender,Lavender,Lavender,ラベンダー,Лаванда
start_game_notice_00,Press,Drück,Drücke eine,Press,Нажмите
photo_mode_actions,Smile / Howl,Lächeln / Heulen,Lächeln / Heulen,笑う / 遠吠え,Улыбнуться / Завыть
wallpaper_office,Office,Büro,Büro,オフィス,Офис
start_game_notice_01,Any,eine,beliebige,Any,Любую
location_random_09,Stream,Datenverkehr,Datenverkehr,データストリーム,Трансляция
world_end,End,Ende,Ende,おしまい,Конец
start_game_notice_03,Button To Continue,Taste zum fortfahren,"Taste, zum fortfahren",Button To Continue,Клавишу чтобы продожлить
world_pink_beach,Pink Beach,Pinker Strand,Pinker Strand,ピンク浜辺,Розовый Пляж
location_random_07,Unknown,Unbekannt ?,Unbekannt,不明,Неизвестность
photo_mode_reset,Reset Camera,,Kamera Zurücksetzen,カメラをリセット,Cброс Камеры
location_random_06,Error,Fehler,Fehler,エラー,Ошибка
keyboard_ctrl,CTRL,,STRG,CTRL,CTRL
location_random_05,Nowhere,nirgendswo or something,Niemandsland,どこでもない,Нигде
menu_setting_info,Info,Information,Information,情報,Информация
location_random_04,Void,I DONT KNOW.. leere ?!,Leere,虚空,Пустота
credits_honorable,honourable mentions,Ehrbare Ernennungen,Speziellen Dank,スペシャルサンクス,важные упомянания
location_random_03,Nothing,Nichts,Nichts,無,Ничто
location_random_25,Signal,,Empfang,信号,Сигнал
location_random_02,Death,Tot,Tot,死,Смерть
location_random_24,Claustrophobic,Klaustrophobie,Klaustrophobie,閉所恐怖,Клаустрафобия
location_random_01,Angels,Engel,Engeln,天使,Ангелы
world_hills,Hills,Hügeln,Hügeln,丘,Холмы
location_random_00,Heaven,Himmel,Himmel,天国,Рай
location_random_26,False Memory,,Falsche Erinnerungen,ニセ記憶,Ложное Воспоминание
location_random_21,Null,Null,Null,Null,Null
location_random_20,Artifical,Künstlich,Künstlich,人工,Искусственность
location_random_23,Afterlife,Jenseits,Jenseits,死後,Загробье
location_random_22,Brutalism,Brutalität,Brutalistisch,ブルータリズム,Брутализм
menu_option_gamepad_use_rumble,Use Rumble,,Vibration benutzen,パッド振動,Вибро-отклик
start_legal,All rights reserved.,Alle Rechte vorbehalten.,Alle Rechte vorbehalten.,All rights reserved.,Все Права Защищены.
phone_no_signal,No Signal,Kein Empfang,Kein Empfang,圏外,Нет Сигнала
menu_exit_end_game,End Program,Software Beenden,Ausschalten,プログラム終了,Завершить Работу
<!MissingKey:197:evil_nia_alt>,evil_nia_alt,,Sonnenblumen,音響,Аудио
<!MissingKey:198:i ####### hate this game>,i ####### hate this game,,Wald,家のほとり,Жилой Блок
world_sunflower,Sunflowers,Sonnenblumen,Sonnenblumen,ヒマワリ,Подсолнухи
wallpaper_forest,Forest,Wald,Wald,森,Лес
menu_option_vsync,VSync,VSync,VSync,垂直同期,Вертикальная синхронизация
phone_date_format,%mm/%dd/??,,%dd/%mm/??,??年%mm月%dd日,%dd/%mm/??
world_maze,Maze,Labyrint,Irrgarten,迷路,Лабиринт
wallpaper_swan,Swan,Schwan,Schwan,白鳥,Лебедь
menu_setting_audio,Audio,Ton,Ton,音響,Аудио
world_homeside,Homeside,,Heimseite,家のほとり,Жилой Блок
menu_setting_audio_alt,Transitional Auditorium,Binaurale Übergang,Binaurale Übergang,うつろう講堂,Бинауральный Эффект
world_sewer,Gutter,Abfluss,Abfluss,下水,Стоки
<!MissingKey:209:total word count      (russian)>,total word count      (russian),,Schmetterling,シャーロットの思い出に,в память о Шарлотте
wallpaper_blue_skies,Skies,Himmel,Himmeln,空,Небеса
world_mars,Red Moon,Blut Mond,Roter Mond,赤い月,Красная Луна
wallpaper_butterfly,Butterfly,,Schmetterling,チョウ,Бабочка
menu_cat_meow,Meow!,Miau!,Miau!,ニャー！,Мяу!
<!MissingKey:214:total moew count  (english)>,total moew count  (english),,Mondlicht,あなたは世界を良くしてくれる,ты меняешь мир к лучшему
wallpaper_blossom,Blossom,Blüten,Blüten,花,Цветение
nebel_advance_text,Listen...,,Hör mal...,聞いて…,Послушай...
world_roots,Roots,,Wurzeln,根,Корни
wallpaper_moonlit_ta,Moonlight,Mondlicht,Mondlicht,月あかり,Лунный Свет
credits_b,in memory of Charlotte,in erinnerung an Charlotte,In Erinnerung an Charlotte,シャーロットの思い出に,в память о Шарлотте
credits_c,until we'll meet again...,bis wir uns wiedersehen...,auf bis wir uns wiedersehen werden...,また会う日まで…,пока мы не встретимся вновь...
<!MissingKey:221:Bloody Torture Chamber>,Bloody Torture Chamber,,Automatisches Rennen,マルチプレイ,Многопользовательский Режим
credits_german,german,Deutsch,Deutsch,ドイツ語,немецкий
credits_a,and thank YOU for exploring <3,"und danke DIR fürs erkunden(?) / und auch DIR danke, fürs erkunden","und auch DIR, danke fürs erforschen! <3",そして探索してくれたキミに感謝 ♡,и спасибо ВАМ за исследование <3
credits_d,you make this world a better place,,Du machst diese Welt ein besserer Ort.,あなたは世界を良くしてくれる,ты меняешь мир к лучшему
menu_option_auto_run,Auto Run,,Automatisches Rennen,自動ダッシュ,Авто-Бег
<!MissingKey:226:-WIP->,-WIP-,,Benutzeroberfläche verstecken,,
<!MissingKey:227:emi / twitter.com/emiwau>,emi / twitter.com/emiwau,,Mehrspieler,,
menu_title_credits,Credits,,Credits,クレジット,Создатели
wallpaper_random,Random,Zufällig,Zufällig,ランダム,Случайные
menu_option_camera_hide_ui,Hide Camera Interface,,Benutzeroberfläche verstecken,カメラUI非表示,Спрятать интерфейс
menu_setting_mod_multiplayer,Multiplayer,,Mehrspieler,マルチプレイ,Многопользовательский Режим
photo_mode_take_picture,Take Picture,Foto Aufnehmen,Foto Aufnehmen,写真を撮る,Сделать Снимок
wallpaper_snowy_path,Snowy Path,Verschneiter Weg,Verschneiter Weg,雪道,Заснеженная Тропа
